game_id,game_date,inning,inning_topbot,pitcher_id,batter_id,pitch_type,release_speed,release_spin_rate,release_pos_x,release_pos_y,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,zone,events,description,launch_speed,launch_angle,hit_distance_sc,effective_speed,spin_axis,group,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,on_3b_x,on_2b_x,on_1b_x,outs_when_up_x,on_3b_y,on_2b_y,on_1b_y,outs_when_up_y,team_x,ba_x,ops_x,ld_percent_x,gb_percent_x,fb_percent_x,bb_percent_x,k_percent_x,team_y,ba_y,ops_y,ld_percent_y,gb_percent_y,fb_percent_y,bb_percent_y,k_percent_y,pitch_type_grouped,pitch_type_encoded,pitch_type_binary,runners_on,outs_remaining,late_game,high_leverage_score,high_leverage_situation,previous_pitch_1,previous_pitch_2,previous_pitch_3,previous_pitch_4,previous_pitch_1_encoded,previous_pitch_2_encoded,previous_pitch_3_encoded,previous_pitch_4_encoded,prev_pitch_outcome_grouped,prev_pitch_outcome_encoded,rolling_pitch_freq,batter_rolling_avg,pitcher_hand_encoded,batter_hand_encoded,log_rolling_pitch_freq,count_encoded,pitch_1_count_interaction,pitcher_batter_matchup
746323,2024-04-10,6,Top,607625,673237,SV,77.8,3062.0,-1.18,54.67,5.58,1.56,-0.7,1.19,1.92,14.0,,swinging_strike,,,,76.8,44.0,9406,1,2,,,,0.0,,,,,,,,,HOU,0.299,0.766,0.224,0.512,0.263,0.039,0.173,HOU,0.299,0.766,0.224,0.512,0.263,0.039,0.173,Other,4,0,False,3.0,0,0.46153846153846156,0,3,4,7,5,4,5,8,6,Ball,0,0.10638297872340426,0.1,1,1,0.10109611687136877,5,20,1
746419,2024-09-15,6,Bot,657097,679529,ST,83.1,2189.0,-2.89,54.53,5.29,0.93,0.07,-1.78,3.3,11.0,,ball,,,,82.7,39.0,14536,1,0,,,690993.0,2.0,,,,,,,,,DET,0.219,0.669,0.151,0.34,0.508,0.087,0.276,DET,0.219,0.669,0.151,0.34,0.508,0.087,0.276,ST,7,0,True,1.0,0,0.28846153846153855,0,2,2,3,1,3,3,4,2,Batted_Ball,1,0.0,0.1,1,1,0.0,3,9,1
746488,2024-04-15,3,Top,681857,608671,CH,86.5,2195.0,-2.75,54.81,5.84,-1.17,-0.01,0.41,1.1,14.0,,swinging_strike,,,,85.4,253.0,14411,1,2,,,543760.0,1.0,,,,,,,,,TEX,0.2,0.508,0.119,0.608,0.273,0.058,0.213,TEX,0.2,0.508,0.119,0.608,0.273,0.058,0.213,CH,1,0,True,2.0,0,0.5192307692307693,1,3,1,1,3,4,2,2,4,Ball,0,0.10638297872340426,0.0,1,0,0.10109611687136877,5,20,0
746703,2024-06-08,2,Top,671096,621550,CU,82.2,2799.0,1.7,53.98,5.99,-0.35,0.06,-0.4,1.8,7.0,,ball,,,,83.1,294.0,7778,1,0,,623520.0,,2.0,,,,,,,,,CHC,0.171,0.629,0.09,0.25,0.66,0.057,0.339,CHC,0.171,0.629,0.09,0.25,0.66,0.057,0.339,CB,0,0,True,1.0,0,0.28846153846153855,0,3,3,0,3,4,4,1,4,Batted_Ball,1,0.02127659574468085,0.0,0,1,0.021053409197832343,3,12,0
746465,2024-06-13,4,Top,663554,608841,SL,87.5,2268.0,-1.75,53.51,5.45,0.37,0.21,1.81,1.3,14.0,,ball,,,,88.7,102.0,12377,3,2,,,,1.0,,,,,,,,,WSN,0.231,0.593,0.161,0.496,0.344,0.067,0.201,WSN,0.231,0.593,0.161,0.496,0.344,0.067,0.201,SL,6,0,False,2.0,0,0.2307692307692308,0,5,5,3,3,6,6,4,4,Foul,3,0.10638297872340426,0.2,1,1,0.10109611687136877,11,66,1
746295,2024-06-10,7,Top,607625,665828,CU,79.4,3469.0,-1.36,54.79,5.57,1.33,-1.27,-0.39,1.54,7.0,,foul,88.0,-41.0,1.0,78.0,46.0,9572,2,2,,,,0.0,,,,,,,,,NYY,0.247,0.661,0.203,0.43,0.367,0.064,0.193,NYY,0.247,0.661,0.203,0.43,0.367,0.064,0.193,CB,0,0,False,3.0,1,0.7115384615384616,0,3,0,2,7,4,1,3,8,Strike,6,0.07092198581560284,0.1,1,0,0.06851994643675606,8,32,0
745200,2024-04-04,1,Bot,677960,571448,FF,94.6,2181.0,2.81,54.57,5.67,1.03,1.37,-1.13,2.52,13.0,,ball,,,,93.6,130.0,3077,1,0,,,,,,,502671.0,1.0,,,,,STL,0.272,0.719,0.213,0.396,0.391,0.069,0.145,STL,0.272,0.719,0.213,0.396,0.391,0.069,0.145,FF,3,1,False,3.0,0,0.46153846153846156,0,3,3,3,3,4,4,4,4,Batted_Ball,1,0.24113475177304963,0.1,0,1,0.21602608354534578,3,12,0
746851,2024-07-24,9,Bot,606303,666624,SL,83.1,2719.0,-2.87,54.56,5.59,1.25,-0.08,0.72,1.15,14.0,,swinging_strike,,,,82.5,55.0,20506,0,1,,,,0.0,,,,,,,,,- - -,0.196,0.634,0.144,0.454,0.402,0.1,0.26,- - -,0.196,0.634,0.144,0.454,0.402,0.1,0.26,SL,6,0,False,3.0,1,0.7115384615384616,0,3,6,5,3,4,7,6,4,Strike,6,0.035460992907801414,0.0,1,1,0.034846731330168156,1,4,1
746970,2024-04-18,4,Top,681867,666310,SI,88.6,2082.0,-1.56,53.74,5.03,-1.73,0.17,0.82,1.21,14.0,,ball,,,,89.1,253.0,17232,1,0,,,,,,,671289.0,2.0,,,,,CLE,0.201,0.614,0.175,0.35,0.474,0.075,0.314,CLE,0.201,0.614,0.175,0.35,0.474,0.075,0.314,SI,5,1,False,3.0,0,0.46153846153846156,0,1,1,1,6,2,2,2,7,Batted_Ball,1,0.20567375886524822,0.1,1,0,0.1870385466720935,3,6,0
746020,2024-09-03,3,Bot,571578,663743,SI,91.9,2022.0,2.3,54.01,6.22,1.19,1.0,1.05,1.89,14.0,,ball,,,,91.8,144.0,2536,1,1,,,,0.0,,,,,,,,,MIA,0.227,0.577,0.165,0.432,0.402,0.033,0.122,MIA,0.227,0.577,0.165,0.432,0.402,0.033,0.122,SI,5,1,False,3.0,0,0.46153846153846156,0,0,6,5,2,1,7,6,3,Strike,6,0.09929078014184398,0.1,0,1,0.09466522654107834,4,4,0
