game_id,game_date,inning,inning_topbot,pitcher_id,batter_id,pitch_type,pitch_type,release_speed,release_spin_rate,release_pos_x,release_pos_y,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,zone,events,description,launch_speed,launch_angle,hit_distance_sc,effective_speed,spin_axis,stand,p_throws
748583,2023-10-04,7,Top,592779,543807,FF,4-Seam Fastball,97.9,2660,-1.91,54.37,5.6,-0.63,1.29,-1.07,3.72,11,,foul,69.7,-37.0,4.0,98.3,213,R,R
748583,2023-10-04,7,Top,592779,543807,FF,4-Seam Fastball,97.8,2673,-1.92,54.23,5.56,-0.7,1.31,-0.41,3.02,1,,foul,76.7,26.0,225.0,98.3,225,R,R
748583,2023-10-04,7,Top,592779,543807,FF,4-Seam Fastball,97.3,2709,-2.06,54.33,5.53,-0.74,1.29,-1.65,2.98,11,,ball,,,,97.6,224,R,R
748583,2023-10-04,7,Top,592779,662139,FF,4-Seam Fastball,97.4,2709,-1.96,54.3,5.56,-0.54,1.4,0.03,3.4,12,strikeout,swinging_strike,,,,97.6,217,L,R
748583,2023-10-04,7,Top,592779,662139,CH,Changeup,89.3,1458,-2.05,54.49,5.63,-1.35,0.64,-0.92,0.83,13,,ball,,,,88.9,242,L,R
748583,2023-10-04,7,Top,592779,662139,FF,4-Seam Fastball,97.5,2589,-2.05,54.4,5.59,-0.83,1.37,-0.34,3.29,1,,foul,78.5,54.0,251.0,97.4,225,L,R
748583,2023-10-04,7,Top,592779,662139,FC,Cutter,95.3,2467,-2.07,54.31,5.5,-0.1,0.88,0.7,1.32,14,,foul,,,,95.8,220,L,R
748583,2023-10-04,7,Top,592779,662139,FF,4-Seam Fastball,97.2,2465,-2.06,54.15,5.5,-0.81,1.11,-0.56,1.67,7,,called_strike,,,,97.3,224,L,R
748583,2023-10-04,6,Bot,554340,650489,FF,4-Seam Fastball,95.8,2590,-2.44,54.58,5.13,-1.08,1.22,0.77,2.92,6,strikeout,called_strike,,,,95.1,230,L,R
748583,2023-10-04,6,Bot,554340,650489,FF,4-Seam Fastball,96.1,2537,-2.38,54.56,5.08,-0.73,1.18,-0.19,2.6,5,,foul,76.7,17.0,262.0,95.7,228,L,R
748583,2023-10-04,6,Bot,554340,650489,CU,Curveball,84.7,2639,-2.66,54.42,5.11,1.36,0.28,0.19,2.04,8,,foul,96.7,4.0,89.0,84.5,78,L,R
748583,2023-10-04,6,Bot,554340,650489,FF,4-Seam Fastball,95.5,2462,-2.53,54.57,5.2,-1.08,0.91,-1.28,3.22,11,,ball,,,,95.2,225,L,R
748583,2023-10-04,6,Bot,554340,650489,CU,Curveball,85.0,2789,-2.67,54.56,5.12,1.49,0.41,-0.5,0.99,13,,foul,89.6,-5.0,10.0,84.6,72,L,R
748583,2023-10-04,6,Bot,554340,650489,CU,Curveball,82.3,2979,-2.81,54.67,5.2,1.21,-0.33,-0.91,2.17,13,,foul,69.4,49.0,177.0,81.6,73,L,R
748583,2023-10-04,6,Bot,554340,650489,CU,Curveball,83.2,2691,-2.66,54.52,5.2,1.52,0.52,-0.19,2.13,8,,called_strike,,,,82.6,73,L,R
748583,2023-10-04,6,Bot,554340,650489,FF,4-Seam Fastball,96.3,2569,-2.62,54.62,5.23,-0.99,1.13,-1.38,2.26,13,,ball,,,,95.5,232,L,R
748583,2023-10-04,6,Bot,554340,621043,CU,Curveball,84.4,2893,-2.71,54.62,5.12,0.89,-0.04,0.49,2.34,6,field_out,hit_into_play,70.5,86.0,40.0,84.1,87,R,R
748583,2023-10-04,6,Bot,554340,621043,SI,Sinker,95.2,2216,-2.46,54.45,5.2,-1.18,0.85,0.95,2.31,14,,ball,,,,94.5,225,R,R
748583,2023-10-04,6,Bot,554340,456781,SL,Slider,92.0,2578,-2.73,54.38,5.13,-0.08,0.69,0.95,0.89,14,walk,ball,,,,92.1,201,R,R
748583,2023-10-04,6,Bot,554340,456781,SI,Sinker,95.9,2288,-2.26,54.4,5.25,-1.33,0.66,1.15,1.6,14,,ball,,,,95.3,230,R,R
748583,2023-10-04,6,Bot,554340,456781,CU,Curveball,85.5,2678,-2.51,54.46,5.1,1.16,0.64,1.71,1.53,14,,ball,,,,85.0,77,R,R
748583,2023-10-04,6,Bot,554340,456781,FF,4-Seam Fastball,96.6,2623,-2.48,54.38,5.08,-0.9,1.18,0.71,1.6,9,,called_strike,,,,96.0,230,R,R
748583,2023-10-04,6,Bot,554340,456781,SI,Sinker,97.0,2215,-2.49,54.43,5.16,-1.48,0.41,0.53,0.54,14,,ball,,,,96.6,230,R,R
748583,2023-10-04,6,Bot,554340,596146,FF,4-Seam Fastball,95.9,2588,-2.38,54.48,5.22,-0.97,1.22,0.49,2.31,6,strikeout,called_strike,,,,95.5,224,L,R
748583,2023-10-04,6,Bot,554340,596146,FF,4-Seam Fastball,96.1,2545,-2.61,54.63,5.19,-1.14,1.22,-1.49,2.63,13,,ball,,,,95.5,231,L,R
748583,2023-10-04,6,Bot,554340,596146,FF,4-Seam Fastball,95.1,2501,-2.6,54.68,5.24,-1.01,1.21,-0.52,3.09,1,,swinging_strike,,,,94.5,228,L,R
748583,2023-10-04,6,Bot,554340,596146,CU,Curveball,83.4,2463,-2.89,54.79,5.27,1.03,0.7,-0.75,4.11,11,,ball,,,,83.1,82,L,R
748583,2023-10-04,6,Bot,554340,596146,FF,4-Seam Fastball,95.9,2513,-2.64,54.61,5.25,-1.07,1.29,-1.35,2.11,13,,ball,,,,95.3,228,L,R
748583,2023-10-04,6,Top,573204,656305,FF,4-Seam Fastball,94.7,2235,0.84,53.92,5.95,0.54,1.45,0.28,2.52,6,grounded_into_double_play,hit_into_play,106.4,-17.0,8.0,95.4,156,R,L
