idfg,season,name,team,age,games,plate_appearances,at_bats,hits,doubles,triples,home_runs,runs,rbi,bb_percent,k_percent,walks,strikeouts,stolen_bases,caught_stealing,batting_average,on_base_percentage,slugging_percentage,ops,wrc_plus,iso,babip,ld_percent,gb_percent,fb_percent,hard_hit_percent
18607,2024,Jared Walsh,TEX,30,17,60,53,12,2,0,1,9,7,0.11699999999999999,0.35,7,21,0,0,0.226,0.317,0.321,0.637,87,0.094,0.355,0.281,0.281,0.43799999999999994,0.313
19198,2024,Yuli Gurriel,KCR,40,18,65,54,13,3,0,0,7,6,0.138,0.231,9,15,1,0,0.241,0.338,0.296,0.635,83,0.056,0.317,0.268,0.439,0.293,0.537
12164,2024,Miguel Sano,LAA,31,28,95,83,17,3,0,2,9,6,0.095,0.379,9,36,0,0,0.205,0.295,0.313,0.608,75,0.108,0.326,0.25,0.479,0.271,0.521
16930,2024,Jonah Heim,TEX,29,131,491,459,101,12,1,13,45,59,0.053,0.183,26,90,1,1,0.22,0.267,0.336,0.602,70,0.115,0.246,0.17600000000000002,0.424,0.4,0.364
21078,2024,Trey Cabbage,HOU,27,45,91,86,18,8,0,1,12,8,0.044000000000000004,0.374,4,34,1,1,0.209,0.253,0.337,0.59,67,0.128,0.333,0.157,0.49,0.353,0.519
16153,2024,Austin Slater,- - -,31,84,212,177,37,4,0,2,24,18,0.12300000000000001,0.28300000000000003,26,60,3,2,0.209,0.321,0.266,0.586,76,0.056,0.294,0.282,0.504,0.214,0.37200000000000005
12861,2024,Anthony Rendon,LAA,34,57,238,206,45,10,0,0,21,14,0.09699999999999999,0.147,23,35,6,1,0.218,0.307,0.267,0.574,68,0.049,0.257,0.166,0.429,0.406,0.36
29949,2024,Tyler Black,MIL,23,18,57,49,10,2,0,0,4,2,0.12300000000000001,0.298,7,17,3,0,0.204,0.316,0.245,0.561,68,0.041,0.313,0.188,0.375,0.43799999999999994,0.156
18889,2024,Danny Mendick,CHW,30,47,141,132,26,7,0,3,13,8,0.043,0.248,6,35,6,0,0.197,0.243,0.318,0.561,57,0.121,0.245,0.18899999999999997,0.4,0.41100000000000003,0.22399999999999998
27599,2024,Jacob Hurtubise,CIN,26,29,68,54,10,1,1,0,7,4,0.08800000000000001,0.265,6,18,2,0,0.185,0.297,0.241,0.538,53,0.056,0.27,0.278,0.25,0.47200000000000003,0.146
20002,2024,Bryce Johnson,SDP,28,47,73,63,13,2,0,0,9,4,0.096,0.16399999999999998,7,12,1,1,0.206,0.286,0.238,0.524,57,0.032,0.255,0.244,0.467,0.289,0.24100000000000002
18821,2024,Jose Azocar,SDP,28,61,79,73,16,2,0,0,13,2,0.063,0.24100000000000002,5,19,5,1,0.219,0.269,0.247,0.516,51,0.027,0.296,0.20800000000000002,0.47200000000000003,0.321,0.309
17276,2024,Alex Jackson,TBR,28,58,155,139,17,7,0,3,17,12,0.077,0.342,12,53,1,0,0.122,0.201,0.237,0.439,29,0.115,0.167,0.10300000000000001,0.402,0.494,0.318
26197,2024,Andrew Vaughn,CHW,26,149,619,570,140,30,1,19,55,70,0.061,0.213,38,132,2,0,0.246,0.297,0.402,0.699,97,0.156,0.285,0.16,0.381,0.45799999999999996,0.431
8090,2024,Matt Carpenter,STL,38,59,157,137,32,7,0,4,15,15,0.096,0.325,15,51,0,2,0.234,0.314,0.372,0.686,95,0.139,0.333,0.267,0.267,0.465,0.27
19287,2024,Adolis Garcia,TEX,31,154,637,580,130,27,0,25,68,85,0.071,0.278,45,177,11,5,0.224,0.284,0.4,0.684,92,0.176,0.273,0.193,0.379,0.428,0.479
27462,2024,Austin Martin,MIN,25,93,257,233,59,18,1,1,41,16,0.078,0.183,20,47,7,3,0.253,0.318,0.352,0.67,94,0.099,0.314,0.266,0.424,0.31,0.33
18171,2024,Seth Brown,OAK,31,124,400,372,86,11,1,14,32,44,0.063,0.28,25,112,4,2,0.231,0.283,0.379,0.662,91,0.148,0.291,0.185,0.39799999999999996,0.41700000000000004,0.402
31562,2024,Zachary Dezenzo,HOU,24,19,65,62,15,2,0,2,5,8,0.046,0.33799999999999997,3,22,0,0,0.242,0.277,0.371,0.648,84,0.129,0.342,0.175,0.475,0.35,0.4
3473,2024,Anthony Rizzo,NYY,34,92,375,337,77,12,0,8,38,35,0.07200000000000001,0.17300000000000001,27,65,0,0,0.228,0.301,0.335,0.637,84,0.107,0.259,0.215,0.43799999999999994,0.34700000000000003,0.32799999999999996
13602,2024,Patrick Wisdom,CHC,32,75,174,158,27,7,2,8,16,23,0.057,0.33899999999999997,10,59,5,0,0.171,0.237,0.392,0.629,75,0.222,0.207,0.09,0.25,0.66,0.485
14712,2024,Manuel Margot,MIN,29,129,343,315,75,17,1,4,37,31,0.061,0.157,21,54,5,0,0.238,0.289,0.337,0.626,79,0.098,0.273,0.184,0.41,0.406,0.336
17766,2024,D.J. Stewart,NYM,30,74,194,158,28,4,0,5,16,19,0.16,0.247,31,48,1,0,0.177,0.325,0.297,0.622,88,0.12,0.217,0.18899999999999997,0.324,0.486,0.396
19318,2024,Matt Thaiss,LAA,29,57,186,157,32,9,0,2,14,16,0.151,0.312,28,58,3,0,0.204,0.323,0.299,0.622,83,0.096,0.306,0.212,0.40399999999999997,0.384,0.4
28080,2024,Jasson Dominguez,NYY,21,18,67,56,10,1,0,2,8,4,0.16399999999999998,0.284,11,19,5,0,0.179,0.313,0.304,0.617,84,0.125,0.229,0.162,0.622,0.21600000000000003,0.45899999999999996
25690,2024,Grant McCray,SFG,23,37,130,124,25,3,2,5,13,10,0.046,0.431,6,56,5,0,0.202,0.238,0.379,0.617,71,0.177,0.317,0.172,0.484,0.344,0.441
29782,2024,Niko Kavadas,LAA,25,30,106,93,17,2,0,4,11,8,0.10400000000000001,0.387,11,41,1,0,0.183,0.283,0.333,0.616,77,0.151,0.271,0.25,0.17300000000000001,0.5770000000000001,0.40399999999999997
14128,2024,Joey Gallo,WSN,30,76,260,223,36,9,0,10,24,27,0.12300000000000001,0.392,32,102,3,1,0.161,0.277,0.336,0.613,76,0.175,0.232,0.198,0.273,0.529,0.434
22563,2024,Gabriel Arias,CLE,24,53,161,153,34,9,1,3,15,15,0.037000000000000005,0.32899999999999996,6,53,5,2,0.222,0.255,0.353,0.608,70,0.131,0.316,0.23800000000000002,0.515,0.248,0.366
23792,2024,Alek Thomas,ARI,24,39,103,95,18,5,1,3,13,17,0.068,0.165,7,17,4,1,0.189,0.245,0.358,0.603,65,0.168,0.2,0.158,0.605,0.237,0.46799999999999997
25111,2024,David Hensley,MIA,28,23,58,52,11,1,0,1,9,4,0.10300000000000001,0.293,6,17,1,0,0.212,0.293,0.288,0.582,65,0.077,0.294,0.11800000000000001,0.706,0.17600000000000002,0.257
19599,2024,Chas McCormick,HOU,29,94,267,242,51,6,1,5,32,27,0.064,0.27,17,72,8,2,0.211,0.271,0.306,0.576,66,0.095,0.274,0.18899999999999997,0.43799999999999994,0.373,0.32799999999999996
19931,2024,Luke Williams,ATL,27,37,52,46,9,3,0,0,8,4,0.077,0.25,4,13,3,0,0.196,0.275,0.261,0.535,54,0.065,0.273,0.121,0.364,0.515,0.294
22458,2024,Taylor Walls,TBR,27,84,252,218,40,5,3,1,27,14,0.12300000000000001,0.266,31,67,16,4,0.183,0.282,0.248,0.529,60,0.064,0.255,0.184,0.36200000000000004,0.45399999999999996,0.24
27630,2024,Nick Loftin,KCR,25,57,171,148,28,4,0,1,15,14,0.111,0.14,19,24,1,0,0.189,0.282,0.236,0.519,50,0.047,0.216,0.16699999999999998,0.46799999999999997,0.365,0.26
19422,2024,Brian Serven,TOR,29,28,71,63,10,4,0,0,6,3,0.07,0.31,5,22,0,0,0.159,0.243,0.222,0.465,38,0.063,0.244,0.25,0.325,0.425,0.16699999999999998
18551,2024,Ali Sanchez,MIA,27,31,96,84,14,2,0,0,5,4,0.042,0.25,4,24,2,1,0.167,0.211,0.19,0.402,11,0.024,0.23,0.18,0.525,0.295,0.358
14477,2024,Jake Cave,COL,31,123,346,323,81,16,5,7,42,37,0.052000000000000005,0.28300000000000003,18,98,5,2,0.251,0.29,0.396,0.686,75,0.146,0.335,0.256,0.45799999999999996,0.28600000000000003,0.36200000000000004
17901,2024,Andrew Benintendi,CHW,29,135,522,477,109,20,0,20,50,64,0.079,0.184,41,96,3,2,0.229,0.289,0.396,0.685,93,0.168,0.245,0.191,0.385,0.424,0.341
22197,2024,MJ Melendez,KCR,25,135,451,412,85,23,3,17,44,44,0.078,0.251,35,113,4,4,0.206,0.273,0.4,0.674,85,0.194,0.241,0.16699999999999998,0.42100000000000004,0.41100000000000003,0.45
20325,2024,Alex Kirilloff,MIN,26,57,178,159,32,8,3,5,20,20,0.084,0.264,15,47,0,0,0.201,0.27,0.384,0.653,83,0.182,0.245,0.13,0.478,0.391,0.409
21780,2024,Esteury Ruiz,OAK,25,29,65,55,11,2,1,2,10,8,0.062,0.308,4,20,5,4,0.2,0.27,0.382,0.652,85,0.182,0.257,0.18899999999999997,0.324,0.486,0.359
13663,2024,Jack Lopez,LAA,31,27,71,67,17,3,0,1,4,6,0.027999999999999997,0.35200000000000004,2,25,0,1,0.254,0.286,0.343,0.629,77,0.09,0.39,0.22,0.512,0.268,0.302
19864,2024,Riley Adams,WSN,28,41,130,116,26,5,1,2,10,8,0.077,0.26899999999999996,10,35,1,0,0.224,0.292,0.336,0.629,75,0.112,0.296,0.18100000000000002,0.494,0.325,0.434
20536,2024,Vidal Brujan,MIA,26,102,278,248,55,14,2,2,32,16,0.09,0.19399999999999998,25,54,5,6,0.222,0.303,0.319,0.622,73,0.097,0.276,0.18,0.513,0.307,0.226
19610,2024,Keibert Ruiz,WSN,25,127,485,459,105,21,0,13,46,57,0.033,0.111,16,54,3,1,0.229,0.26,0.359,0.619,71,0.131,0.232,0.188,0.35,0.462,0.254
