pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2023-10-04,88.0,-2.25,6.34,"Romano, Jordan",456781,605447,,swinging_strike,,,,,14,Donovan Solano grounds out to first baseman Vladimir Guerrero Jr.,F,R,R,MIN,TOR,S,,,0,0,2023,0.28,-0.44,0.69,1.13,,,,1,8,Bot,,,,,,,6.681208086726056,-127.96929093798678,-5.757429825040317,1.7945814838533294,24.52095420529392,-36.055115470355304,3.22,1.51,,,,89.7,2196,7.2,748583,672386,665489,669289,656305,666182,624415,662139,543807,53.3,,,,,,,,65,1,Slider,2,0,2,0,0,2,2,0,Standard,Standard,67,0.0,-0.026,,,,0.026,,2,2,0.937,0.937,30,35,30,36,1,2,4,1,,4,3.37,-0.28,-0.28,49.9
SL,2023-10-04,88.8,-1.85,6.53,"Romano, Jordan",596146,605447,strikeout,swinging_strike,,,,,13,Max Kepler strikes out swinging.,F,L,R,MIN,TOR,S,2,,0,2,2023,0.15,-0.46,-0.11,1.15,,,,0,8,Bot,,,,,,,4.006873245752826,-129.2415473923578,-6.262291381000583,0.9233904240694808,26.307372949239667,-36.27606737320221,3.57,1.74,,,,90.5,2143,7.3,748583,672386,665489,669289,656305,666182,624415,662139,543807,53.21,,0.0,0.0,1,0,0,,64,3,Slider,2,0,2,0,0,2,2,0,Standard,Standard,36,-0.005,-0.152,,,,0.152,,2,2,0.942,0.942,30,30,30,30,1,3,4,1,,3,3.35,-0.15,0.15,63.2
FF,2023-10-04,98.1,-2.17,6.39,"Romano, Jordan",596146,605447,,foul,,,,,4,Max Kepler strikes out swinging.,F,L,R,MIN,TOR,S,,,0,1,2023,0.08,1.68,-0.3,2.34,,,,0,8,Bot,,,,,,,4.952662829615508,-142.6267726431101,-9.600388463456264,0.0949729924238721,30.33185146629348,-7.235272776815133,3.57,1.74,195,71.5,39,100.5,2377,7.5,748583,672386,665489,669289,656305,666182,624415,662139,543807,53.01,,,,,,,,64,2,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,201,0.0,-0.049,,,,0.049,88.0,2,2,0.942,0.942,30,30,30,30,1,3,4,1,,3,0.68,-0.08,0.08,57.0
FF,2023-10-04,96.8,-2.37,6.3,"Romano, Jordan",596146,605447,,called_strike,,,,,9,Max Kepler strikes out swinging.,F,L,R,MIN,TOR,S,,,0,0,2023,-0.17,1.38,0.57,2.03,,,,0,8,Bot,,,,,,,8.391109829302135,-140.53219074052856,-9.191765210817596,-4.066427168912848,30.22783303589411,-11.921529233570997,3.73,1.75,,,,98.9,2248,7.5,748583,672386,665489,669289,656305,666182,624415,662139,543807,53.02,,,,,,,,64,1,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,202,0.0,-0.038,,,,0.038,,2,2,0.942,0.942,30,30,30,30,1,3,4,1,,3,1.05,0.17,-0.17,47.9
ST,2023-10-04,87.9,-1.02,5.46,"Jax, Griffin",624415,643377,field_out,hit_into_play,,,,,7,Cavan Biggio grounds out to pitcher Griffin Jax.,F,L,R,MIN,TOR,X,1,ground_ball,1,2,2023,1.04,-0.48,-0.37,1.85,,,,2,8,Top,137.61,190.58,,,,,-0.5568349600007978,-128.13386331666072,-1.728333471328524,11.68955773923917,23.17959413991634,-37.38515929285883,3.39,1.6,1,61.7,-60,88.2,3157,6.1,748583,680777,456781,593871,571657,621043,650489,572191,596146,54.4,0.223,0.215,0.0,1,0,0,2,63,5,Sweeper,2,0,0,2,0,2,0,2,Infield shade,Standard,52,0.013,-0.074,,,0.223,0.074,88.0,2,-2,0.929,0.071,28,28,29,28,1,3,1,1,6,,3.39,-1.04,1.04,39.5
ST,2023-10-04,87.0,-0.98,5.49,"Jax, Griffin",624415,643377,,foul,,,,,8,Cavan Biggio grounds out to pitcher Griffin Jax.,F,L,R,MIN,TOR,S,,,1,2,2023,1.0,-0.43,0.11,1.93,,,,2,8,Top,,,,,,,0.5679163326894322,-126.78960407880686,-1.5438041917302283,10.701375469580208,24.487876750422743,-36.74461269041377,3.39,1.6,,,,87.2,3129,6.2,748583,680777,456781,593871,571657,621043,650489,572191,596146,54.28,,,,,,,,63,4,Sweeper,2,0,0,2,0,2,0,2,Infield shade,Standard,49,0.0,0.0,,,,0.0,,2,-2,0.929,0.071,28,28,29,28,1,3,1,1,6,,3.42,-1.0,1.0,43.9
ST,2023-10-04,89.5,-0.99,5.46,"Jax, Griffin",624415,643377,,swinging_strike,,,,,14,Cavan Biggio grounds out to pitcher Griffin Jax.,F,L,R,MIN,TOR,S,,,1,1,2023,0.82,0.01,0.47,1.32,,,,2,8,Top,,,,,,,1.8640439575341945,-130.32114419301095,-4.268435993022375,9.042327490325256,26.268295909801175,-31.433202917346225,3.39,1.6,,,,89.7,2905,6.3,748583,680777,456781,593871,571657,621043,650489,572191,596146,54.21,,,,,,,,63,3,Sweeper,2,0,0,2,0,2,0,2,Infield shade,Standard,48,0.0,-0.027,,,,0.027,,2,-2,0.929,0.071,28,28,29,28,1,3,1,1,6,,2.82,-0.82,0.82,39.1
ST,2023-10-04,86.4,-1.06,5.42,"Jax, Griffin",624415,643377,,called_strike,,,,,4,Cavan Biggio grounds out to pitcher Griffin Jax.,F,L,R,MIN,TOR,S,,,1,0,2023,1.08,-0.42,-0.54,2.61,,,,2,8,Top,,,,,,,-0.9410073866405426,-125.94912243712268,0.3345246716686754,11.737466151105636,24.94073706899195,-36.963363244602974,3.49,1.72,,,,86.3,3030,6.0,748583,680777,456781,593871,571657,621043,650489,572191,596146,54.45,,,,,,,,63,2,Sweeper,2,0,0,2,0,2,0,2,Infield shade,Standard,44,0.0,-0.022,,,,0.022,,2,-2,0.929,0.071,28,28,29,28,1,3,1,1,6,,3.46,-1.08,1.08,40.8
ST,2023-10-04,87.8,-0.89,5.51,"Jax, Griffin",624415,643377,,ball,,,,,14,Cavan Biggio grounds out to pitcher Griffin Jax.,F,L,R,MIN,TOR,B,,,0,0,2023,1.01,0.08,0.76,1.12,,,,2,8,Top,,,,,,,1.9111002427644956,-127.9487377644526,-4.759634421360194,10.75361299635644,24.394253492952593,-30.565926198595385,3.55,1.63,,,,88.2,2919,6.3,748583,680777,456781,593871,571657,621043,650489,572191,596146,54.24,,,,,,,,63,1,Sweeper,2,0,0,2,0,2,0,2,Infield shade,Standard,50,0.0,0.016,,,,-0.016,,2,-2,0.929,0.071,28,28,29,28,1,3,1,1,6,,2.85,-1.01,1.01,45.1
FF,2023-10-04,97.1,-0.75,5.56,"Jax, Griffin",666182,643377,field_out,hit_into_play,,,,,8,"Bo Bichette grounds out, shortstop Carlos Correa to first baseman Donovan Solano.",F,R,R,MIN,TOR,X,6,ground_ball,0,2,2023,-0.51,1.35,0.03,1.81,,,,1,8,Top,111.55,153.14,,,,,3.260004568017422,-141.22056100225967,-7.5677011236123874,-7.554308047054943,32.46054875816106,-12.52809159661123,3.69,1.72,6,99.5,-17,97.0,2423,6.3,748583,680777,456781,593871,571657,621043,650489,572191,596146,54.24,0.18,0.176,0.0,1,0,0,2,62,5,4-Seam Fastball,2,0,0,2,0,2,0,2,Strategic,Standard,210,0.023,-0.107,,,0.189,0.107,99.5,2,-2,0.906,0.094,28,25,29,25,1,3,1,1,6,,1.07,0.51,0.51,49.4
