hitter_archetype,pitcher_archetype,total_pitches,zone_distribution
Power Hitter,Average Spin,8304,"{""5.0"": 0.20664739884393063, ""8.0"": 0.13547687861271676, ""4.0"": 0.11452312138728324, ""6.0"": 0.1019990366088632, ""2.0"": 0.0855009633911368, ""7.0"": 0.07526493256262043, ""9.0"": 0.06478805394990365, ""1.0"": 0.05214354527938343, ""3.0"": 0.04756743737957611, ""13.0"": 0.03769267822736031, ""11.0"": 0.03010597302504817, ""14.0"": 0.027336223506743737, ""12.0"": 0.020953757225433526}"
Power Hitter,High Spin,1609,"{""5.0"": 0.20136730888750776, ""8.0"": 0.15351149782473586, ""6.0"": 0.12430080795525171, ""9.0"": 0.10379117464263518, ""4.0"": 0.09509011808576756, ""7.0"": 0.06587942821628341, ""2.0"": 0.06525792417650715, ""14.0"": 0.04785581106277191, ""3.0"": 0.040397762585456805, ""1.0"": 0.031075201988812928, ""13.0"": 0.030453697949036667, ""12.0"": 0.023617153511497825, ""11.0"": 0.01740211311373524}"
Contact Hitter,Average Spin,215,"{""14"": 0.24186046511627907, ""13"": 0.17209302325581396, ""4"": 0.08372093023255814, ""7"": 0.07441860465116279, ""8"": 0.06976744186046512, ""12"": 0.06046511627906977, ""11"": 0.05581395348837209, ""9"": 0.05116279069767442, ""6"": 0.046511627906976744, ""5"": 0.04186046511627907, ""3"": 0.04186046511627907, ""2"": 0.03255813953488372, ""1"": 0.027906976744186046}"
Contact Hitter,High Spin,34,"{""14"": 0.38235294117647056, ""11"": 0.14705882352941177, ""13"": 0.11764705882352941, ""8"": 0.08823529411764706, ""1"": 0.058823529411764705, ""3"": 0.058823529411764705, ""5"": 0.029411764705882353, ""12"": 0.029411764705882353, ""7"": 0.029411764705882353, ""9"": 0.029411764705882353, ""4"": 0.029411764705882353}"
Power Hitter,Average Spin,22,"{""9"": 0.18181818181818182, ""5"": 0.13636363636363635, ""7"": 0.13636363636363635, ""13"": 0.13636363636363635, ""4"": 0.09090909090909091, ""6"": 0.09090909090909091, ""3"": 0.09090909090909091, ""8"": 0.09090909090909091, ""2"": 0.045454545454545456}"
Power Hitter,High Spin,2,"{""3"": 0.5, ""8"": 0.5}"
Contact Hitter,Average Spin,11052,"{""14"": 0.18204849800941006, ""13"": 0.14992761491132828, ""11"": 0.12296416938110749, ""12"": 0.0919290626131017, ""5"": 0.06080347448425624, ""8"": 0.055465074194715885, ""6"": 0.05392689106044155, ""9"": 0.05329352153456388, ""4"": 0.05130293159609121, ""7"": 0.049221860296778865, ""2"": 0.04876945349258053, ""1"": 0.04134998190372783, ""3"": 0.03899746652189649}"
Contact Hitter,High Spin,3608,"{""14"": 0.3156873614190687, ""13"": 0.11751662971175167, ""11"": 0.08093126385809313, ""9"": 0.07039911308203992, ""12"": 0.06236141906873614, ""5"": 0.058481152993348114, ""8"": 0.05598669623059867, ""6"": 0.05432372505543237, ""4"": 0.045454545454545456, ""2"": 0.041019955654102, ""7"": 0.03797117516629712, ""3"": 0.03048780487804878, ""1"": 0.029379157427937917}"
Power Hitter,Average Spin,1054,"{""5"": 0.17362428842504743, ""8"": 0.15749525616698293, ""6"": 0.10815939278937381, ""4"": 0.10815939278937381, ""2"": 0.08823529411764706, ""9"": 0.0777988614800759, ""7"": 0.07115749525616698, ""13"": 0.046489563567362426, ""1"": 0.04459203036053131, ""3"": 0.04364326375711575, ""14"": 0.04174573055028463, ""11"": 0.022770398481973434, ""12"": 0.016129032258064516}"
Power Hitter,High Spin,235,"{""5"": 0.23404255319148937, ""8"": 0.17446808510638298, ""6"": 0.11914893617021277, ""4"": 0.0851063829787234, ""9"": 0.08085106382978724, ""7"": 0.07234042553191489, ""2"": 0.06382978723404255, ""3"": 0.05106382978723404, ""13"": 0.03404255319148936, ""1"": 0.029787234042553193, ""14"": 0.029787234042553193, ""12"": 0.01702127659574468, ""11"": 0.00851063829787234}"
Contact Hitter,Average Spin,88822,"{""14.0"": 0.16889449443136903, ""13.0"": 0.13907501041654935, ""11.0"": 0.13297147554644656, ""12.0"": 0.09477370750329388, ""5.0"": 0.06332135899370503, ""4.0"": 0.056474589250121054, ""8.0"": 0.056249366561187376, ""6.0"": 0.05450389072195133, ""2.0"": 0.05109176698460603, ""9.0"": 0.05003322034661772, ""7.0"": 0.04796117160842783, ""1.0"": 0.046170651231405055, ""3.0"": 0.03847929640431977}"
Contact Hitter,High Spin,21924,"{""14.0"": 0.30049261083743845, ""13.0"": 0.1252964787447546, ""11.0"": 0.08465608465608465, ""9.0"": 0.06353767560664113, ""12.0"": 0.06239737274220033, ""5.0"": 0.06029921547162927, ""8.0"": 0.05742565225323846, ""6.0"": 0.05468892537858055, ""4.0"": 0.04789272030651341, ""2.0"": 0.0412789636927568, ""7.0"": 0.04082284254698048, ""1.0"": 0.03115307425652253, ""3.0"": 0.030058383506659368}"
Power Hitter,Average Spin,7810,"{""5.0"": 0.19641485275288093, ""8.0"": 0.13649167733674775, ""4.0"": 0.1148527528809219, ""6.0"": 0.1025608194622279, ""2.0"": 0.08348271446862997, ""7.0"": 0.07528809218950064, ""9.0"": 0.06542893725992317, ""1.0"": 0.05416133162612036, ""3.0"": 0.04519846350832266, ""13.0"": 0.043149807938540334, ""14.0"": 0.03085787451984635, ""11.0"": 0.029193341869398207, ""12.0"": 0.02291933418693982}"
Power Hitter,High Spin,1556,"{""5.0"": 0.19665809768637532, ""8.0"": 0.16323907455012854, ""6.0"": 0.11118251928020566, ""9.0"": 0.10089974293059126, ""4.0"": 0.09383033419023136, ""7.0"": 0.07455012853470437, ""2.0"": 0.06426735218508997, ""14.0"": 0.04820051413881748, ""13.0"": 0.042416452442159386, ""1.0"": 0.036632390745501286, ""3.0"": 0.032776349614395885, ""11.0"": 0.018637532133676093, ""12.0"": 0.016709511568123392}"
Contact Hitter,Average Spin,89793,"{""14.0"": 0.1721502011622709, ""13.0"": 0.13760616897630756, ""11.0"": 0.12993965131873045, ""12.0"": 0.0994859186410371, ""5.0"": 0.06399195350916406, ""4.0"": 0.056660706303084486, ""6.0"": 0.054894948591864105, ""8.0"": 0.05420205632543585, ""9.0"": 0.0508046490835941, ""2.0"": 0.05039114886008046, ""7.0"": 0.047094322753687974, ""1.0"": 0.04359633437639696, ""3.0"": 0.039181940098345996}"
Contact Hitter,High Spin,22840,"{""14.0"": 0.307399299474606, ""13.0"": 0.1250875656742557, ""11.0"": 0.0766199649737303, ""9.0"": 0.0675569176882662, ""12.0"": 0.06300350262697023, ""8.0"": 0.06155866900175131, ""5.0"": 0.06138353765323993, ""6.0"": 0.052320490367775835, ""4.0"": 0.04443957968476357, ""7.0"": 0.041243432574430826, ""2.0"": 0.03848511383537653, ""1.0"": 0.03248686514886165, ""3.0"": 0.028415061295971978}"
Power Hitter,Average Spin,7989,"{""5.0"": 0.19176367505319813, ""8.0"": 0.14232069095005634, ""4.0"": 0.11428213793966704, ""6.0"": 0.10439354111903867, ""7.0"": 0.08086118412817624, ""2.0"": 0.07447740643384654, ""9.0"": 0.06709225184628864, ""13.0"": 0.04756540242833897, ""1.0"": 0.04681436975841782, ""3.0"": 0.04656402553511078, ""14.0"": 0.03404681436975842, ""12.0"": 0.025535110777318813, ""11.0"": 0.024283389660783576}"
Power Hitter,High Spin,1625,"{""5.0"": 0.19692307692307692, ""8.0"": 0.16553846153846155, ""9.0"": 0.13046153846153846, ""6.0"": 0.11815384615384615, ""4.0"": 0.09846153846153846, ""7.0"": 0.06769230769230769, ""14.0"": 0.05169230769230769, ""2.0"": 0.05046153846153846, ""13.0"": 0.035076923076923075, ""1.0"": 0.027692307692307693, ""3.0"": 0.027692307692307693, ""11.0"": 0.016615384615384615, ""12.0"": 0.01353846153846154}"
Contact Hitter,Average Spin,84842,"{""14"": 0.17609202989085596, ""13"": 0.13249334056245726, ""11"": 0.1323283279507791, ""12"": 0.09742816058084439, ""5"": 0.0635416421112185, ""4"": 0.05665825888121449, ""6"": 0.05547959736922751, ""8"": 0.055173145376110885, ""2"": 0.05109497654463591, ""9"": 0.049727729190731006, ""1"": 0.04632139742108861, ""7"": 0.04522524221494071, ""3"": 0.038436151905895666}"
Contact Hitter,High Spin,22504,"{""14"": 0.313722004976893, ""13"": 0.11846782794169926, ""11"": 0.07563099893352293, ""9"": 0.07034305012442232, ""12"": 0.06314432989690721, ""8"": 0.05843405616779239, ""5"": 0.05834518307856381, ""6"": 0.05634553857092073, ""4"": 0.04772484891574831, ""2"": 0.0386153572698187, ""7"": 0.03830430145751866, ""3"": 0.031150017774617844, ""1"": 0.02977248489157483}"
Power Hitter,Average Spin,7520,"{""5"": 0.18976063829787235, ""8"": 0.14055851063829788, ""4"": 0.11835106382978723, ""6"": 0.10505319148936171, ""7"": 0.08138297872340426, ""2"": 0.08031914893617022, ""9"": 0.06648936170212766, ""1"": 0.045611702127659574, ""3"": 0.04375, ""13"": 0.04295212765957447, ""14"": 0.032446808510638296, ""11"": 0.029787234042553193, ""12"": 0.02353723404255319}"
Power Hitter,High Spin,1510,"{""5"": 0.18211920529801323, ""8"": 0.1728476821192053, ""6"": 0.10927152317880795, ""4"": 0.09933774834437085, ""9"": 0.09470198675496688, ""7"": 0.08609271523178808, ""2"": 0.0695364238410596, ""14"": 0.05364238410596026, ""13"": 0.045033112582781455, ""3"": 0.03708609271523179, ""1"": 0.024503311258278145, ""12"": 0.013245033112582781, ""11"": 0.012582781456953643}"
Contact Hitter,Average Spin,86428,"{""14.0"": 0.18447242344990394, ""13.0"": 0.14762654199550998, ""11.0"": 0.12515333163607748, ""12.0"": 0.0923461476149698, ""5.0"": 0.06222371375008679, ""8.0"": 0.05640289767861689, ""4.0"": 0.05581271553220543, ""6.0"": 0.052699794014858706, ""9.0"": 0.052352628046381376, ""7.0"": 0.0477931816603791, ""2.0"": 0.0467748281528456, ""1.0"": 0.04141690003934548, ""3.0"": 0.03492489642881941}"
Contact Hitter,High Spin,24072,"{""14.0"": 0.28929877035559987, ""13.0"": 0.130275839149219, ""11.0"": 0.08412263210368894, ""12.0"": 0.06983217015619807, ""9.0"": 0.06177301429046195, ""5.0"": 0.061731472249916916, ""8.0"": 0.058781987371219674, ""6.0"": 0.057161847789963444, ""4.0"": 0.04648554336989033, ""2.0"": 0.03963110667996012, ""7.0"": 0.039298770355599866, ""1.0"": 0.03165503489531406, ""3.0"": 0.029951811232967765}"
Power Hitter,Average Spin,7052,"{""5.0"": 0.18221781055019853, ""8.0"": 0.14506522972206468, ""4.0"": 0.11812251843448666, ""6.0"": 0.10351673284174702, ""7.0"": 0.08295519001701646, ""9.0"": 0.07983550765740216, ""2.0"": 0.07699943278502552, ""13.0"": 0.045802609188882584, ""1.0"": 0.04381735677821894, ""3.0"": 0.04381735677821894, ""14.0"": 0.036301758366420876, ""11.0"": 0.022546795235394216, ""12.0"": 0.019001701644923426}"
Power Hitter,High Spin,1548,"{""5.0"": 0.17506459948320413, ""8.0"": 0.1686046511627907, ""6.0"": 0.12338501291989665, ""9.0"": 0.09819121447028424, ""4.0"": 0.09237726098191215, ""7.0"": 0.07622739018087855, ""2.0"": 0.060723514211886306, ""14.0"": 0.05232558139534884, ""13.0"": 0.04263565891472868, ""3.0"": 0.037467700258397935, ""1.0"": 0.03488372093023256, ""12.0"": 0.025193798449612403, ""11.0"": 0.012919896640826873}"
Contact Hitter,Average Spin,84809,"{""14.0"": 0.19384241681013137, ""13.0"": 0.1422069193217461, ""11.0"": 0.12311628894182015, ""12.0"": 0.09145579322217767, ""5.0"": 0.061634789991274204, ""4.0"": 0.05603377119543428, ""8.0"": 0.05477206801405561, ""6.0"": 0.05387590500672122, ""9.0"": 0.05378157205858076, ""7.0"": 0.047661722047968307, ""2.0"": 0.045433106148149896, ""1.0"": 0.040209419144871826, ""3.0"": 0.0359762280970686}"
Contact Hitter,High Spin,23710,"{""14.0"": 0.2944749051033319, ""13.0"": 0.13078869675242513, ""11.0"": 0.0828764234500211, ""12.0"": 0.06600590468156896, ""9.0"": 0.061619569801771405, ""5.0"": 0.06056516237874315, ""8.0"": 0.060101223112610715, ""6.0"": 0.052678194854491774, ""4.0"": 0.04504428511176719, ""2.0"": 0.039730071699704765, ""7.0"": 0.03943483762125685, ""1.0"": 0.03479544495993252, ""3.0"": 0.03188528047237452}"
Power Hitter,Average Spin,7245,"{""5.0"": 0.189648033126294, ""8.0"": 0.14589371980676327, ""6.0"": 0.11414768806073154, ""4.0"": 0.11193926846100759, ""7.0"": 0.08599033816425121, ""9.0"": 0.08074534161490683, ""2.0"": 0.0673567977915804, ""13.0"": 0.04472049689440994, ""3.0"": 0.042374051069703246, ""1.0"": 0.03795721187025535, ""14.0"": 0.03712905452035887, ""11.0"": 0.022498274672187717, ""12.0"": 0.019599723947550034}"
Power Hitter,High Spin,1500,"{""8.0"": 0.17866666666666667, ""5.0"": 0.17333333333333334, ""6.0"": 0.11933333333333333, ""9.0"": 0.098, ""4.0"": 0.094, ""2.0"": 0.068, ""7.0"": 0.056666666666666664, ""14.0"": 0.056, ""13.0"": 0.050666666666666665, ""3.0"": 0.038, ""1.0"": 0.03266666666666666, ""12.0"": 0.019333333333333334, ""11.0"": 0.015333333333333332}"
