hitter_archetype,pitcher_archetype,total_pitches,zone_distribution
Contact Hitter,High Spin,18872,"{""14.0"": 0.3171364985163205, ""13.0"": 0.12356930902924969, ""11.0"": 0.07344213649851632, ""9.0"": 0.06899109792284866, ""12.0"": 0.062102585841458245, ""8.0"": 0.06104281475201356, ""5.0"": 0.05775752437473506, ""6.0"": 0.055955913522679104, ""4.0"": 0.04546417973717677, ""7.0"": 0.04154302670623145, ""2.0"": 0.0349194573972022, ""1.0"": 0.02903772785078423, ""3.0"": 0.02903772785078423}"
Power Hitter,Average Spin,8509,"{""5.0"": 0.18533317663650253, ""8.0"": 0.14149723821835702, ""4.0"": 0.12198848278293571, ""6.0"": 0.10823833587965684, ""7.0"": 0.08273592666588318, ""2.0"": 0.07321659419438242, ""9.0"": 0.07239393583264779, ""3.0"": 0.045716300387824656, ""13.0"": 0.04477611940298507, ""1.0"": 0.041485485956046536, ""14.0"": 0.03137854036902104, ""11.0"": 0.026442590198613232, ""12.0"": 0.024797273475143964}"
Power Hitter,High Spin,1320,"{""5.0"": 0.18787878787878787, ""8.0"": 0.17045454545454544, ""6.0"": 0.11893939393939394, ""4.0"": 0.11060606060606061, ""9.0"": 0.10075757575757575, ""7.0"": 0.0803030303030303, ""14.0"": 0.06742424242424243, ""2.0"": 0.05606060606060606, ""13.0"": 0.04242424242424243, ""3.0"": 0.02196969696969697, ""1.0"": 0.021212121212121213, ""12.0"": 0.015151515151515152, ""11.0"": 0.006818181818181818}"
Contact Hitter,Average Spin,81255,"{""14"": 0.17446310996246384, ""13"": 0.13876069164974464, ""11"": 0.12842286628515168, ""12"": 0.09708940988246877, ""5"": 0.06352839825241524, ""6"": 0.05690726724509261, ""4"": 0.05582425696880192, ""8"": 0.05346132545689496, ""9"": 0.05077841363608393, ""2"": 0.05042151252230632, ""7"": 0.0471601747584764, ""1"": 0.04272967817365085, ""3"": 0.04045289520644883}"
Contact Hitter,High Spin,20140,"{""14"": 0.31454816285998016, ""13"": 0.12939424031777558, ""11"": 0.07333664349553128, ""9"": 0.06896722939424031, ""8"": 0.06156901688182721, ""12"": 0.05913604766633565, ""5"": 0.05744786494538232, ""6"": 0.05541211519364449, ""4"": 0.04612711022840119, ""7"": 0.04195630585898709, ""2"": 0.03644488579940417, ""1"": 0.02874875868917577, ""3"": 0.026911618669314796}"
Power Hitter,Average Spin,7098,"{""5"": 0.18385460693153, ""8"": 0.14623837700760778, ""4"": 0.11242603550295859, ""6"": 0.10650887573964497, ""7"": 0.08382642998027613, ""2"": 0.07790927021696252, ""9"": 0.07495069033530571, ""3"": 0.04508312200619893, ""13"": 0.04451958298112144, ""1"": 0.04184277261200338, ""14"": 0.033107917723302335, ""11"": 0.026204564666103127, ""12"": 0.023527754296985066}"
Power Hitter,High Spin,1481,"{""5"": 0.18568534773801484, ""8"": 0.16812964213369344, ""6"": 0.11546252532072923, ""9"": 0.10735989196488858, ""4"": 0.09858203916272788, ""7"": 0.07629979743416611, ""14"": 0.05671843349088454, ""13"": 0.053342336259284265, ""2"": 0.04794058068872384, ""3"": 0.03781228899392303, ""1"": 0.02228224172856178, ""12"": 0.019581363943281565, ""11"": 0.010803511141120865}"
Contact Hitter,Average Spin,85705,"{""14.0"": 0.17385111152624697, ""13.0"": 0.14085559499346162, ""11.0"": 0.12928498038483094, ""12.0"": 0.09693162712497665, ""5.0"": 0.0640178404632916, ""6.0"": 0.05619512422940407, ""4.0"": 0.055050906033999626, ""8.0"": 0.0539884177096955, ""9.0"": 0.05185176536521577, ""2.0"": 0.0506725200821969, ""7.0"": 0.04592051186250701, ""1.0"": 0.04367877825518401, ""3.0"": 0.03770082196898935}"
Contact Hitter,High Spin,19311,"{""14.0"": 0.32172290468045406, ""13.0"": 0.12621157932929042, ""11.0"": 0.07287617270512621, ""9.0"": 0.0667081324832841, ""12.0"": 0.06111024723993158, ""5.0"": 0.0598662727414088, ""8.0"": 0.059296117762919195, ""6.0"": 0.05302441299953351, ""4.0"": 0.04405743015601513, ""7.0"": 0.04099932618047997, ""2.0"": 0.03669724770642202, ""3.0"": 0.029233400715285338, ""1.0"": 0.028196755299849687}"
Power Hitter,Average Spin,7777,"{""5.0"": 0.18227424749163879, ""8.0"": 0.14509904810908156, ""4.0"": 0.11885773089786468, ""6.0"": 0.10033444816053512, ""7.0"": 0.08284023668639054, ""2.0"": 0.08039619243632622, ""9.0"": 0.06753280164651403, ""13.0"": 0.051453563159248775, ""1.0"": 0.04836634936969385, ""3.0"": 0.04180602006688963, ""14.0"": 0.03215847697453049, ""11.0"": 0.02984306663236429, ""12.0"": 0.019037818368922047}"
