pitch_type,avg_velocity,avg_spin_rate,avg_horizontal_break,avg_vertical_break,avg_plate_x,avg_plate_z,zone_distribution
ST,80.89911504424778,2542.247023809524,0.7298820058997051,-0.10008849557522123,0.38731563421828913,1.8381710914454277,"{14.0: 0.3834808259587021, 13.0: 0.10324483775811209, 6.0: 0.07964601769911504, 9.0: 0.07374631268436578, 4.0: 0.058997050147492625, 8.0: 0.058997050147492625, 11.0: 0.05309734513274336, 5.0: 0.05014749262536873, 12.0: 0.035398230088495575, 7.0: 0.035398230088495575, 1.0: 0.02654867256637168, 2.0: 0.02359882005899705, 3.0: 0.017699115044247787}"
SV,83.25714285714285,2336.6507936507937,1.097936507936508,-0.20904761904761904,0.34031746031746035,1.7511111111111113,"{14.0: 0.3492063492063492, 13.0: 0.1111111111111111, 5.0: 0.09523809523809523, 6.0: 0.07936507936507936, 11.0: 0.06349206349206349, 8.0: 0.06349206349206349, 9.0: 0.047619047619047616, 7.0: 0.047619047619047616, 4.0: 0.047619047619047616, 2.0: 0.031746031746031744, 1.0: 0.031746031746031744, 12.0: 0.031746031746031744}"
CH,85.09446227929374,1766.627844712182,-0.35347512038523277,0.5426083467094703,-0.05517656500802568,1.881865971107544,"{13.0: 0.22552166934189405, 14.0: 0.22191011235955055, 8.0: 0.08426966292134831, 11.0: 0.0826645264847512, 9.0: 0.07062600321027288, 7.0: 0.06902086677367576, 4.0: 0.05337078651685393, 5.0: 0.04654895666131621, 12.0: 0.0449438202247191, 6.0: 0.04052969502407704, 1.0: 0.026886035313001606, 3.0: 0.01725521669341894, 2.0: 0.016452648475120384}"
CS,70.7,2264.0,0.5283333333333333,-1.0283333333333333,-0.22000000000000006,1.8433333333333335,"{9.0: 0.3333333333333333, 13.0: 0.3333333333333333, 11.0: 0.16666666666666666, 14.0: 0.16666666666666666}"
CU,78.37669773635153,2469.5226939970717,0.29844207723035954,-0.73211051930759,0.02601198402130493,1.9624833555259655,"{14.0: 0.22836218375499334, 13.0: 0.170439414114514, 11.0: 0.09054593874833555, 8.0: 0.08388814913448735, 5.0: 0.07057256990679095, 4.0: 0.061917443408788284, 9.0: 0.05858854860186418, 6.0: 0.05792276964047936, 7.0: 0.05459387483355526, 12.0: 0.0525965379494008, 2.0: 0.03062583222370173, 1.0: 0.02463382157123835, 3.0: 0.015312916111850865}"
FC,87.90819981149859,2323.0971615720523,0.06742695570216778,0.6014514608859566,0.17656927426955701,2.295702167766258,"{14.0: 0.22148916116870876, 13.0: 0.10838831291234684, 12.0: 0.0885956644674835, 11.0: 0.08199811498586239, 6.0: 0.07540056550424128, 5.0: 0.06597549481621112, 8.0: 0.060320452403393024, 9.0: 0.05937794533459001, 3.0: 0.05372290292177191, 2.0: 0.0527803958529689, 4.0: 0.04995287464655985, 7.0: 0.04524033930254477, 1.0: 0.036757775683317624}"
FF,93.68257734661772,2256.1285463585846,-0.27994887257472467,1.319849239643419,-0.003164656528578919,2.7219441531200843,"{11.0: 0.1603303618248558, 12.0: 0.12165705296276874, 5.0: 0.09137388568432092, 14.0: 0.09045621394861038, 2.0: 0.08154168851599371, 6.0: 0.07420031463030939, 4.0: 0.06738332459360252, 13.0: 0.06712113266911379, 1.0: 0.06082852648138437, 3.0: 0.05663345568956476, 8.0: 0.0483744100681699, 9.0: 0.041819611955951755, 7.0: 0.03828002097535396}"
FS,86.92476190476191,1349.4950495049504,-0.775952380952381,0.4999047619047619,-0.16404761904761903,1.7415238095238097,"{14.0: 0.26666666666666666, 13.0: 0.22857142857142856, 11.0: 0.1, 8.0: 0.1, 7.0: 0.08571428571428572, 5.0: 0.05714285714285714, 4.0: 0.05714285714285714, 9.0: 0.03333333333333333, 1.0: 0.01904761904761905, 12.0: 0.01904761904761905, 6.0: 0.01904761904761905, 3.0: 0.009523809523809525, 2.0: 0.004761904761904762}"
KC,79.8884476534296,2522.2813688212927,0.5058122743682311,-0.9394945848375451,0.13898916967509026,1.9090252707581226,"{14.0: 0.2815884476534296, 13.0: 0.10830324909747292, 9.0: 0.10469314079422383, 8.0: 0.08664259927797834, 11.0: 0.08303249097472924, 7.0: 0.06498194945848375, 5.0: 0.06498194945848375, 4.0: 0.05415162454873646, 6.0: 0.05054151624548736, 1.0: 0.036101083032490974, 12.0: 0.02527075812274368, 3.0: 0.021660649819494584, 2.0: 0.018050541516245487}"
SC,78.82352941176471,2119.625,-1.2705882352941178,0.49764705882352944,-0.41647058823529415,2.4447058823529413,"{1.0: 0.17647058823529413, 11.0: 0.17647058823529413, 4.0: 0.17647058823529413, 13.0: 0.11764705882352941, 14.0: 0.11764705882352941, 7.0: 0.058823529411764705, 6.0: 0.058823529411764705, 12.0: 0.058823529411764705, 5.0: 0.058823529411764705}"
SI,93.10689329556185,2152.0165527168047,-0.501614730878187,0.7432074283915644,-0.11665722379603399,2.382401636764243,"{11.0: 0.12590494176896444, 13.0: 0.12023921938936104, 14.0: 0.11331444759206799, 5.0: 0.08876298394711993, 4.0: 0.0824677368586717, 8.0: 0.07774630154233554, 12.0: 0.07239534151715454, 6.0: 0.06861819326408561, 7.0: 0.06389675794774945, 1.0: 0.05225055083412024, 9.0: 0.05067673906200818, 2.0: 0.048788164935473714, 3.0: 0.03493862134088763}"
SL,84.36154548220263,2378.088781830695,0.16959537572254335,0.09591420748402799,0.12803163979312443,1.9950745360511106,"{14.0: 0.26194097961667173, 13.0: 0.1493763310009127, 5.0: 0.08214177061149985, 9.0: 0.0687557042896258, 8.0: 0.06814724672954062, 11.0: 0.06358381502890173, 6.0: 0.0571950106480073, 4.0: 0.05415272284758138, 12.0: 0.05171889260724064, 7.0: 0.04745968968664436, 2.0: 0.04015819896562215, 3.0: 0.02829327654396106, 1.0: 0.02707636142379069}"
ST,80.63359013867488,2591.0461538461536,0.48722650231124803,0.06354391371340525,0.11314329738058553,2.072742681047766,"{14.0: 0.24961479198767333, 13.0: 0.14946070878274267, 5.0: 0.09244992295839753, 8.0: 0.07550077041602465, 11.0: 0.06779661016949153, 4.0: 0.06317411402157165, 9.0: 0.06317411402157165, 12.0: 0.05546995377503852, 6.0: 0.05084745762711865, 7.0: 0.03543913713405239, 1.0: 0.03389830508474576, 3.0: 0.032357473035439135, 2.0: 0.030816640986132512}"
SV,80.24827586206897,2268.214285714286,0.0810344827586207,-0.16344827586206898,-0.1627586206896552,1.7437931034482759,"{13.0: 0.3103448275862069, 14.0: 0.20689655172413793, 8.0: 0.10344827586206896, 11.0: 0.10344827586206896, 5.0: 0.06896551724137931, 7.0: 0.06896551724137931, 12.0: 0.034482758620689655, 1.0: 0.034482758620689655, 2.0: 0.034482758620689655, 4.0: 0.034482758620689655}"
CH,86.0780739466896,1790.1556319862425,-0.4473602751504729,0.5959673258813414,-0.02727429062768702,1.7820636285468616,"{13: 0.25709372312983664, 14: 0.2553740326741187, 8: 0.07480653482373173, 7: 0.06878761822871883, 9: 0.0644883920894239, 11: 0.061908856405846945, 4: 0.05331040412725709, 12: 0.04299226139294927, 5: 0.04213241616509028, 6: 0.040412725709372314, 1: 0.02063628546861565, 2: 0.009458297506448839, 3: 0.008598452278589854}"
CU,80.34921874999999,2670.1967329545455,0.07884232954545455,-0.8431107954545454,0.05013494318181819,1.7687713068181816,"{14: 0.2663352272727273, 13: 0.20525568181818182, 8: 0.08096590909090909, 11: 0.05894886363636364, 5: 0.0546875, 9: 0.052556818181818184, 4: 0.05184659090909091, 7: 0.05113636363636364, 12: 0.04971590909090909, 6: 0.045454545454545456, 2: 0.03409090909090909, 3: 0.024857954545454544, 1: 0.024147727272727272}"
FA,81.14999999999999,1683.0,-0.8333333333333334,0.6666666666666666,-0.8566666666666668,1.365,"{13: 0.8333333333333334, 4: 0.16666666666666666}"
FC,89.40012787723785,2414.8849104859337,0.12952685421994886,0.672544757033248,0.1170076726342711,2.4743989769820973,"{14: 0.18925831202046037, 12: 0.10869565217391304, 11: 0.09718670076726342, 13: 0.09718670076726342, 5: 0.07289002557544758, 6: 0.07161125319693094, 2: 0.06521739130434782, 9: 0.06265984654731457, 4: 0.05754475703324808, 1: 0.05115089514066496, 8: 0.04859335038363171, 3: 0.04475703324808184, 7: 0.03324808184143223}"
