batter_id,pitcher_id,total_pitches,avg_velocity,avg_spin_rate,avg_horizontal_break,avg_vertical_break,avg_plate_x,avg_plate_z,total_batted_balls,most_common_pitch,zone_distribution
408234,547179,16,95.1875,2627.375,-0.4075,0.9225,0.783125,2.2825,2,FF,"{14.0: 0.375, 3.0: 0.1875, 11.0: 0.125, 9.0: 0.125, 6.0: 0.125, 12.0: 0.0625}"
408234,548384,8,85.025,2668.25,-0.44125000000000003,0.45125000000000004,-0.22625,2.605,1,FC,"{1.0: 0.25, 2.0: 0.125, 6.0: 0.125, 4.0: 0.125, 11.0: 0.125, 14.0: 0.125, 13.0: 0.125}"
408234,622092,4,85.775,2158.0,0.175,0.355,0.4925,1.9575,1,SL,"{9.0: 0.25, 14.0: 0.25, 6.0: 0.25, 5.0: 0.25}"
408234,622251,4,86.45,2853.75,0.565,-0.5700000000000001,0.10999999999999999,1.365,1,CU,"{14.0: 0.5, 7.0: 0.25, 11.0: 0.25}"
408234,622491,21,92.37142857142857,2053.809523809524,-1.069047619047619,0.38095238095238093,0.4261904761904762,2.078095238095238,6,CH,"{14.0: 0.3333333333333333, 7.0: 0.19047619047619047, 9.0: 0.14285714285714285, 8.0: 0.09523809523809523, 13.0: 0.047619047619047616, 6.0: 0.047619047619047616, 12.0: 0.047619047619047616, 3.0: 0.047619047619047616, 5.0: 0.047619047619047616}"
408234,628452,4,91.25,1957.5,-0.5325,0.7275,0.4625,1.6625,1,FF,"{14.0: 0.5, 3.0: 0.25, 13.0: 0.25}"
408234,641838,5,88.78,1846.0,-0.9800000000000001,0.51,0.524,2.8600000000000003,1,SI,"{14.0: 0.4, 5.0: 0.2, 12.0: 0.2, 11.0: 0.2}"
408234,642098,3,86.83333333333333,2265.3333333333335,-0.03666666666666666,0.023333333333333355,0.29000000000000004,2.733333333333333,1,FF,"{2.0: 0.3333333333333333, 14.0: 0.3333333333333333, 3.0: 0.3333333333333333}"
408234,642100,4,86.2,2127.25,0.07499999999999998,0.4325,0.14499999999999996,2.1825,1,FF,"{12.0: 0.5, 13.0: 0.25, 14.0: 0.25}"
408234,663903,10,90.07000000000001,2251.9,-0.665,0.624,0.605,2.463,2,SI,"{14.0: 0.3, 6.0: 0.2, 2.0: 0.2, 9.0: 0.1, 12.0: 0.1, 3.0: 0.1}"
